app_id,app_name,category,review_id,text,rating,thumbs_up,at,true_label
com.tokopedia.tkpd,Tokopedia,marketplace,af12d574-6a50-4711-b688-169369cb5ef7,"otp nomor hp gamasuk"", apk gajelas",1,0,2026-05-08 09:49:10,negatif
com.tokopedia.tkpd,Tokopedia,marketplace,ec19b618-4490-4cb1-9c76-1b8d186a6416,Barang dibatalkan oleh toko tetapi uang tidak kembali ke saya ini gimna cok?,1,0,2026-05-08 09:42:48,negatif
com.tokopedia.tkpd,Tokopedia,marketplace,2561b355-a2e7-4f62-a806-b51c25faf1aa,gak jelas paket instan ada kerjasama yang benar sama pihak gojek grab pembeli belanja cepat karena urgent,1,0,2026-05-08 08:53:10,negatif
com.tokopedia.tkpd,Tokopedia,marketplace,add50142-5b6d-45be-994d-7d7df97ead33,bilangnya kupon gratis ongkir minimal blanja 20 ribu tapi bas beli barang 100 ribu++ gk gratis.. katanya kupon diskon 50% pas mau bayar gak ada diskon ini sampah bgt aplikasi.. belajarlah dari shopee biar lu gak mati..,1,0,2026-05-08 08:25:14,negatif
com.tokopedia.tkpd,Tokopedia,marketplace,00657b2f-6a78-4f89-bc4f-f11762e8ba4e,wah parah lu nyebarin pasword email address aplikasi gak bermutu,1,0,2026-05-08 05:56:12,negatif
com.tokopedia.tkpd,Tokopedia,marketplace,d583b8fe-0eef-46a0-b092-aa974817d766,ada penipuan dan tokopedia tidak peduli.,1,0,2026-05-08 05:18:03,negatif
com.tokopedia.tkpd,Tokopedia,marketplace,6b5ec4d7-d189-42aa-8001-739f0c5af46f,belanja di sinih aja,4,0,2026-05-08 05:03:22,positif
com.tokopedia.tkpd,Tokopedia,marketplace,afe013e6-f573-403e-aaae-cc14fd6e9f93,enak belanja di tokopedia serba ada,5,0,2026-05-08 04:01:06,positif
com.tokopedia.tkpd,Tokopedia,marketplace,68d453f4-0f87-4fc6-833c-d1dbf7646c94,banyak akun bocor dari apk ini,1,0,2026-05-08 03:25:20,negatif
com.tokopedia.tkpd,Tokopedia,marketplace,c4fa2cbe-1e2a-4f71-a10a-8dcd16d54c14,"saya memiliki kendala pada Tokopedia card, sudah saya email tetapi tidak direspon sama sekali. fitur Tokopedia card tidak bisa saya gunakan CS no respon sama sekali, Tokopedia care sangat tidak berguna",1,2,2026-05-08 00:59:14,negatif
com.tokopedia.tkpd,Tokopedia,marketplace,0fd7525f-a641-464c-b6ed-e93452a6758f,"penanganan lambat, bisa batal otomatis, tp g batal2,, w iklashin ja dh duit w",1,0,2026-05-08 00:10:01,negatif
com.tokopedia.tkpd,Tokopedia,marketplace,a8ed36ce-7d72-4aef-bd69-236b60dc822c,Udah semakin parah tokped udah ga smooth lagi berat padahal spek hp ram 12 masih lemot banyak bug,2,0,2026-05-07 22:39:41,negatif
com.tokopedia.tkpd,Tokopedia,marketplace,079a54b2-9391-4bc5-a48e-76591da71199,"center care nya ga guna, g bisa nanganin seller penipu",1,0,2026-05-07 21:05:45,negatif
com.tokopedia.tkpd,Tokopedia,marketplace,8a409c3b-50d0-4a52-a565-b12a881a3daa,gabisa pake promo,1,0,2026-05-07 20:41:42,negatif
com.tokopedia.tkpd,Tokopedia,marketplace,d7c3ee90-1937-4f76-ab7b-f3a06761d233,TIAP LGI MAIN GAME NI IKLAN SLALU MUNCUL GANGGU TAU GA!!,1,0,2026-05-07 20:30:04,negatif
com.tokopedia.tkpd,Tokopedia,marketplace,7399cd48-65d6-4069-b0f4-8fbf26b2c08e,woy gua liat video fyp haveabeenpwneed data gua kesebar gimana ini woyy bisa bisanya jual data orang jadilah manusia yang amanah woyy,1,0,2026-05-07 20:15:10,negatif
com.tokopedia.tkpd,Tokopedia,marketplace,ba5393fa-0876-46e7-94be-72ab2b88ef12,"lemot, tampilan komedi putar yang diawal hapus saja nggak guna tanda X tidak bisa ditekan berarti dipaksa tekan yang lain",1,0,2026-05-07 19:22:54,negatif
com.tokopedia.tkpd,Tokopedia,marketplace,0867a928-9f44-4521-847d-92c68f9557f1,APLIKASI JELEK BANYAK CENGCONG PADAHAL MAU BELI PROMO WISE JUICE MALAH DI LAMAIN,1,0,2026-05-07 19:15:51,negatif
